,GDP,GDP_scaled
2022-09-14,26572.783778305806,94.99464880740453
2022-09-15,26577.977990032407,95.00249737928732
2022-09-16,26583.17016495188,95.01034287350826
2022-09-17,26588.36030306411,95.01818529006721
2022-09-18,26593.548404369154,95.02602462896425
2022-09-19,26598.73446886713,95.03386089019955
2022-09-20,26603.918496557977,95.04169407377303
2022-09-21,26609.10048744158,95.04952417968451
2022-09-22,26614.280441518,95.05735120793406
2022-09-23,26619.45835878735,95.06517515852187
2022-09-24,26624.63423924957,95.07299603144787
2022-09-25,26629.80808290455,95.08081382671186
2022-09-26,26634.9798897524,95.08862854431402
2022-09-27,26640.149659793125,95.09644018425436
2022-09-28,26645.317393026722,95.10424874653287
2022-09-29,26650.483089453075,95.11205423114937
2022-09-30,26655.6467490723,95.11985663810405
2022-10-01,26770.514,95.29342366296494
2022-10-02,26665.96795788943,95.13545221902802
2022-10-03,26671.125507087156,95.14324539299704
2022-10-04,26676.281019477756,95.15103548930423
2022-10-05,26681.43449506123,95.15882250794962
2022-10-06,26686.585933837632,95.16660644893325
2022-10-07,26691.735335806734,95.1743873122548
2022-10-08,26696.88270096871,95.1821650979145
2022-10-09,26702.028029323614,95.18993980591249
2022-10-10,26707.171320871334,95.19771143624854
2022-10-11,26712.312575611868,95.20547998892269
2022-10-12,26717.451793545217,95.21324546393492
2022-10-13,26722.588974671497,95.22100786128543
2022-10-14,26727.72411899059,95.22876718097402
2022-10-15,26732.8572265025,95.23652342300068
2022-10-16,26737.988297207223,95.24427658736542
2022-10-17,26743.117331104877,95.25202667406845
2022-10-18,26748.244328195404,95.25977368310963
2022-10-19,26753.369288478687,95.26751761448881
2022-10-20,26758.492211954785,95.27525846820609
2022-10-21,26763.61309862387,95.28299624426171
2022-10-22,26768.731948485714,95.29073094265532
2022-10-23,26773.848761540372,95.29846256338702
2022-10-24,26778.963537787902,95.30619110645691
2022-10-25,26784.076277228305,95.31391657186495
2022-10-26,26789.18697986158,95.32163895961116
2022-10-27,26794.295645687613,95.32935826969539
2022-10-28,26799.402274706517,95.33707450211779
2022-10-29,26804.506866918295,95.34478765687835
2022-10-30,26809.609422323003,95.35249773397717
2022-10-31,26814.70994092041,95.36020473341392
2022-11-01,26819.80842271069,95.36790865518883
2022-11-02,26824.904867693956,95.37560949930209
2022-11-03,26829.999275869923,95.38330726575326
2022-11-04,26835.091647238703,95.39100195454252
2022-11-05,26840.181981800415,95.39869356567004
2022-11-06,26845.270279555,95.40638209913573
2022-11-07,26850.35654050234,95.41406755493941
2022-11-08,26855.440764642495,95.42174993308119
2022-11-09,26860.52295197564,95.42942923356131
2022-11-10,26865.6031025016,95.43710545637953
2022-11-11,26870.681216220313,95.44477860153572
2022-11-12,26875.7572931319,95.4524486690301
2022-11-13,26880.83133323636,95.46011565886266
2022-11-14,26885.903336533753,95.46777957103347
2022-11-15,26890.973303023842,95.4754404055422
2022-11-16,26896.041232706746,95.48309816238901
2022-11-17,26901.10712558264,95.49075284157416
2022-11-18,26906.170981651347,95.49840444309741
2022-11-19,26911.23280091287,95.50605296695875
2022-11-20,26916.292583367205,95.51369841315815
